menu,Description,q
Big Apple Crumble Cupcakes ,เมนูของหวาน เมนู Big Apple Crumble Cupcakes มีวัตถุดิบ อบเชย แอปเปิล วานิลลา,อยากกินของหวานที่มีแอปเปิลและมีอบเชยด้วย
Lemon and Fig Cupcakes ,เมนูของหวาน เมนู Lemon and Fig Cupcakes มีวัตถุดิบ วานิลลา เลมอน มะเดื่อ,อยากกินคัพเค้กที่มีมะเดื่อ
Toasted Coconut Chia Pudding ,เมนูของหวาน เมนู Toasted Coconut Chia Pudding มีวัตถุดิบ อัลมอนด์ มะพร้าว,อยากได้ของหวานมะพร้าว
Apple Walnut Bundt Cake ,เมนูของหวาน เมนู Apple Walnut Bundt Cake มีวัตถุดิบ วอลนัท อบเชย แอปเปิล วานิลลา คาราเมล,อยากกินเค้กที่มีวอลนัทและแอปเปิล
Sweet Potato Sonker with Milk Dip ,เมนูของหวาน เมนู Sweet Potato Sonker with Milk Dip มีวัตถุดิบ แอปเปิล วานิลลา,อยากกินมันเทศหวาน
Peach Lassi Sorbet with Crushed Blackberries ,เมนูของหวาน เมนู Peach Lassi Sorbet with Crushed Blackberries มีวัตถุดิบ พีช วอดก้า น้ำผึ้ง แบล็กเบอร์รี เลมอน,อยากกินซอร์เบต์ที่มีพีชและมีแอลกอฮอล์
Plum-Cardamom Crumble with Pistachios ,เมนูของหวาน เมนู Plum-Cardamom Crumble with Pistachios มีวัตถุดิบ พลัม เลมอน อบเชย พิสตาชิโอ,อยากกินของหวานที่มีพลัม
Matcha Coconut Ice Cream ,เมนูของหวาน เมนู Matcha Coconut Ice Cream มีวัตถุดิบ มัทฉะ มะพร้าว เมเปิ้ล วอดก้า วานิลลา,อยากกินไอศกรีมที่มีส่วนผสมของมัทฉะและมะพร้าว รสชาติหวานมัน
Date Ice Cream (Buza ‘Ala-Tamr) ,เมนูของหวาน เมนู Date Ice Cream (Buza ‘Ala-Tamr) มีวัตถุดิบ กุหลาบ กระวาน อินทผลัม พิสตาชิโอ,อยากกินของหวานที่มีกลิ่นหอมของกุหลาบและเครื่องเทศ รสชาติหวานกำลังดี
Lemon and Lime Battenberg ,เมนูของหวาน เมนู Lemon and Lime Battenberg มีวัตถุดิบ อัลมอนด์ มะนาว,อยากกินของหวานที่มีรสเปรี้ยวนิดๆ จากมะนาวและเนื้อนุ่มๆ
Blackberry Icebox Cake ,เมนูของหวาน เมนู Blackberry Icebox Cake มีวัตถุดิบ แบล็กเบอร์รี มะนาว วานิลลา,อยากกินเค้กที่มีรสชาติเปรี้ยวอมหวานจากผลไม้และมีความสดชื่น
Matcha-Dipped Strawberries ,เมนูของหวาน เมนู Matcha-Dipped Strawberries มีวัตถุดิบ ช็อกโกแลต มะพร้าว มัทฉะ สตรอว์เบอร์รี,อยากกินของหวานที่มีเนื้อสัมผัสกรอบและหอมมัทฉะ
